工况,工况代码,曲线,原始CSV,处理后CSV,选用响应列,节点,单元,有效响应列数,重复响应列,重复列核验,保留工况步,排除工况步,换算/归一化
原轴力,origin,层剪力—层间位移角,data/raw/origin/NX_node_524.csv,data/processed/origin/story_shear_response.csv,NX node 524 element 156,524,156,1,,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,剪力 N → kN；层间位移角 = load factor × 0.005 rad
原轴力,origin,梁纵筋应变,data/raw/origin/EXX_node_1628.csv,data/processed/origin/beam_rebar_response.csv,EXX node 1628 element 672,1628,672,2,EXX node 1628 element 673,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,应变 / 0.002
原轴力,origin,柱纵筋应变,data/raw/origin/EZZ_node_1985.csv,data/processed/origin/column_rebar_response.csv,EZZ node 1985 element 1018,1985,1018,2,EZZ node 1985 element 1019,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,应变 / 0.002
原轴力,origin,节点箍筋应变,data/raw/origin/EXX_node_2375.csv,data/processed/origin/joint_stirrup_response.csv,EXX node 2375 element 1359,2375,1359,2,EXX node 2375 element 1360,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,EXX / 0.002
50%减轴力,50pct_axial_force,层剪力—层间位移角,data/raw/50pct_axial_force/NX_node_524.csv,data/processed/50pct_axial_force/story_shear_response.csv,NX node 524 element 402,524,402,1,,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,剪力 N → kN；层间位移角 = load factor × 0.005 rad
50%减轴力,50pct_axial_force,梁纵筋应变,data/raw/50pct_axial_force/EXX_node_1628.csv,data/processed/50pct_axial_force/beam_rebar_response.csv,EXX node 1628 element 672,1628,672,2,EXX node 1628 element 673,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,应变 / 0.002
50%减轴力,50pct_axial_force,柱纵筋应变,data/raw/50pct_axial_force/EZZ_node_1985.csv,data/processed/50pct_axial_force/column_rebar_response.csv,EZZ node 1985 element 1018,1985,1018,2,EZZ node 1985 element 1019,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,应变 / 0.002
50%减轴力,50pct_axial_force,节点箍筋应变,data/raw/50pct_axial_force/EXX_node_2375.csv,data/processed/50pct_axial_force/joint_stirrup_response.csv,EXX node 2375 element 1359,2375,1359,2,EXX node 2375 element 1360,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,EXX / 0.002
改变柱纵筋,changed_column_longitudinal_rebar,层剪力—层间位移角,data/raw/改变柱纵筋/NX_node_524.csv,data/processed/changed_column_longitudinal_rebar/story_shear_response.csv,NX node 524 element 402,524,402,1,,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,剪力 N → kN；层间位移角 = load factor × 0.005 rad
改变柱纵筋,changed_column_longitudinal_rebar,梁纵筋应变,data/raw/改变柱纵筋/EXX_node_1628.csv,data/processed/changed_column_longitudinal_rebar/beam_rebar_response.csv,EXX node 1628 element 672,1628,672,2,EXX node 1628 element 673,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,应变 / 0.002
改变柱纵筋,changed_column_longitudinal_rebar,柱纵筋应变,data/raw/改变柱纵筋/EZZ_node_1845.csv,data/processed/changed_column_longitudinal_rebar/column_rebar_response.csv,EZZ node 1845 element 883,1845,883,2,EZZ node 1845 element 884,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,应变 / 0.002
改变柱纵筋,changed_column_longitudinal_rebar,节点箍筋应变,data/raw/改变柱纵筋/EXX_node_2151.csv,data/processed/changed_column_longitudinal_rebar/joint_stirrup_response.csv,EXX node 2151 element 1143,2151,1143,2,EXX node 2151 element 1144,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,EXX / 0.002
四层箍筋,four_layer_stirrups,层剪力—层间位移角,data/raw/四层箍筋/NX_node_524.csv,data/processed/four_layer_stirrups/story_shear_response.csv,NX node 524 element 402,524,402,1,,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,剪力 N → kN；层间位移角 = load factor × 0.005 rad
四层箍筋,four_layer_stirrups,梁纵筋应变,data/raw/四层箍筋/EXX_node_1628.csv,data/processed/four_layer_stirrups/beam_rebar_response.csv,EXX node 1628 element 672,1628,672,2,EXX node 1628 element 673,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,应变 / 0.002
四层箍筋,four_layer_stirrups,柱纵筋应变,data/raw/四层箍筋/EZZ_node_1985.csv,data/processed/four_layer_stirrups/column_rebar_response.csv,EZZ node 1985 element 1018,1985,1018,2,EZZ node 1985 element 1019,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,应变 / 0.002
四层箍筋,four_layer_stirrups,节点箍筋应变,data/raw/四层箍筋/EXX_node_2375.csv,data/processed/four_layer_stirrups/joint_stirrup_response.csv,EXX node 2375 element 1359,2375,1359,2,EXX node 2375 element 1360,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,EXX / 0.002
六层箍筋,six_layer_stirrups,层剪力—层间位移角,data/raw/六层箍筋/NX_node_524.csv,data/processed/six_layer_stirrups/story_shear_response.csv,NX node 524 element 402,524,402,1,,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,剪力 N → kN；层间位移角 = load factor × 0.005 rad
六层箍筋,six_layer_stirrups,梁纵筋应变,data/raw/六层箍筋/EXX_node_1628.csv,data/processed/six_layer_stirrups/beam_rebar_response.csv,EXX node 1628 element 672,1628,672,2,EXX node 1628 element 673,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,应变 / 0.002
六层箍筋,six_layer_stirrups,柱纵筋应变,data/raw/六层箍筋/EZZ_node_1985.csv,data/processed/six_layer_stirrups/column_rebar_response.csv,EZZ node 1985 element 1018,1985,1018,2,EZZ node 1985 element 1019,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,应变 / 0.002
六层箍筋,six_layer_stirrups,节点箍筋应变,data/raw/六层箍筋/EXX_node_2375.csv,data/processed/six_layer_stirrups/joint_stirrup_response.csv,EXX node 2375 element 1359,2375,1359,2,EXX node 2375 element 1360,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,EXX / 0.002
四层箍筋-增加柱纵筋,four_layer_stirrups_increased_column_rebar,层剪力—层间位移角,data/raw/四层箍筋-增加柱纵筋/NX_node_524.csv,data/processed/four_layer_stirrups_increased_column_rebar/story_shear_response.csv,NX node 524 element 402,524,402,1,,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,剪力 N → kN；层间位移角 = load factor × 0.005 rad
四层箍筋-增加柱纵筋,four_layer_stirrups_increased_column_rebar,梁纵筋应变,data/raw/四层箍筋-增加柱纵筋/EXX_node_1628.csv,data/processed/four_layer_stirrups_increased_column_rebar/beam_rebar_response.csv,EXX node 1628 element 672,1628,672,2,EXX node 1628 element 673,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,应变 / 0.002
四层箍筋-增加柱纵筋,four_layer_stirrups_increased_column_rebar,柱纵筋应变,data/raw/四层箍筋-增加柱纵筋/EZZ_node_1845.csv,data/processed/four_layer_stirrups_increased_column_rebar/column_rebar_response.csv,EZZ node 1845 element 883,1845,883,2,EZZ node 1845 element 884,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,应变 / 0.002
四层箍筋-增加柱纵筋,four_layer_stirrups_increased_column_rebar,节点箍筋应变,data/raw/四层箍筋-增加柱纵筋/EXX_node_2151.csv,data/processed/four_layer_stirrups_increased_column_rebar/joint_stirrup_response.csv,EXX node 2151 element 1143,2151,1143,2,EXX node 2151 element 1144,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,EXX / 0.002
